,loc_neighborhood,loc_City,coffee_shop_density,business_density,mean_price,mean_rating,mean_review_count,mean_goog_search,Avg_income_neighborhood,geom_mean_tt,rating_stdev,review_stdev,pct_fancy_donuts,pct_bakeries,pct_corporate,pct_tea_and_juice,pct_grab_and_go,pct_third_wave,pct_independent,Avg_Utility_Score,Count
2182,Rivertown,Detroit,1.9767170013743025,1067.4271807421233,1.6666666666666667,2.8333333333333335,132.0,4.0,58362.666999999994,975.06,1.6072751268321592,121.50308638055249,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,588.739,3
2183,Rosedale Park,Detroit,1.4144994114498934,295.6303769930277,1.0,2.75,21.0,4.0,51400.333,975.06,2.4748737341529163,15.556349186104045,0.5,0.0,0.0,0.0,0.5,0.0,0.5,76.8335,2
2214,Russell Woods,Detroit,1.0545123114328614,284.7183240868726,1.0,3.0,2.0,5.0,35716.667,975.06,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.8,1
2243,Southwest Detroit,Detroit,0.9923230886356874,385.0213583906467,1.0,3.2,26.8,1.6,38873.5,975.0599999999998,1.2549900398011131,27.040710049848915,0.2,0.2,0.0,0.0,0.2,0.0,0.8,109.06660000000002,5
2244,Springwells,Detroit,0.8622539665877453,334.5545390360452,1.6666666666666667,3.5,47.666666666666664,2.6666666666666665,38873.5,975.06,1.3228756555322954,51.58811232574161,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,184.07233333333332,3
2215,State Fair Grounds,Detroit,3.1419458778775695,1501.8501296254783,1.6666666666666667,2.0,47.0,2.3333333333333335,63591.166666666664,975.06,0.8660254037844386,33.77869150810907,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,105.84999999999998,3
2187,Virginia Park,Detroit,1.2985997478899458,570.0852893236862,1.0,2.5,13.0,5.0,31912.0,975.06,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.416999999999998,1
2186,Warrendale,Detroit,0.14447689253271484,80.32915224818944,1.0,2.5,2.0,3.0,74068.667,975.06,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.833,1
2240,Wayne State,Detroit,0.8773597600841266,385.1609346769316,1.5,3.0,31.5,5.0,31912.0,975.06,1.4142135623730951,43.1335136523794,0.0,0.0,0.0,0.0,0.0,0.0,1.0,120.833,2
2216,Weatherby,Detroit,0.9067816669102275,504.17060680208647,1.0,3.0,8.0,0.0,74068.667,975.06,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.2,1
2245,West Side Industrial,Detroit,4.034940560524854,2499.645677245147,1.5,4.125,59.75,5.0,40067.3335,975.06,0.24999999999999992,59.561592770285564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,283.95625,4
2246,West Village,Detroit,6.76764316437228,1326.4580602169667,1.5,4.5,149.5,5.0,48673.833,975.06,0.0,112.42997820866105,0.0,0.5,0.0,0.0,0.0,0.0,1.0,822.075,2
2755,Armatage,Minneapolis,0.9148852242073854,513.7080533924469,2.0,4.0,148.0,0.0,266120.0835,975.06,0.7071067811865476,48.08326112068523,0.0,0.0,0.0,0.0,0.0,0.0,1.0,791.7,2
2714,Audubon Park,Minneapolis,3.0420421663433506,2086.8409261115385,1.6666666666666667,4.083333333333333,158.0,0.8333333333333334,171523.333,975.0599999999998,0.2041241452319316,138.38641551828707,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,727.311,6
2776,Beltrami,Minneapolis,3.0258812558080708,2326.9026857164063,1.5,4.25,51.5,2.5,98805.333,975.06,0.3535533905932738,20.506096654409877,0.0,0.0,0.0,0.0,0.0,0.0,1.0,264.5835,2
2715,Bottineau,Minneapolis,3.6871516835534863,2529.3860549176916,2.0,4.0,437.3333333333333,1.6666666666666667,171523.333,975.06,0.5,467.7417378568363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2041.6666666666667,3
